Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Day) 8-daily 4 km [MODIS-Aqua ()"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-12-25T23:59:59Z
User Bounding Box:,"8.8932,76.6141,8.8932,76.6141"
Data Bounding Box:,"8.89584,76.6042,8.89584,76.6042"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-12-25T23:59:59Z&bbox=8.8932,76.6141,8.8932,76.6141&data=MODISA_L3m_SST_8d_4km_R2019_0_sst&dataKeyword=sea%20surface%20temperature&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_SST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_SST_8d_4km_R2019_0_sst
2002-07-04 00:55:01,6.37999964
2002-07-12 00:20:01,8.11499977
2002-07-20 00:55:01,-32767
2002-07-28 00:20:01,7.21000004
2002-08-06 15:17:05,4.30999994
2002-08-13 00:20:01,7.05999994
2002-08-21 00:55:01,7.52999973
2002-08-29 00:20:00,7.4199996
2002-09-06 00:35:01,-32767
2002-09-14 00:20:00,6.63499975
2002-09-22 00:35:01,6.07999992
2002-09-30 00:20:00,5.44999981
2002-10-08 00:35:01,5.82499981
2002-10-16 00:20:01,-32767
2002-10-24 00:35:01,-32767
2002-11-01 00:20:01,-32767
2002-11-09 00:35:01,-32767
2002-11-17 00:20:01,-32767
2002-11-25 00:35:01,-32767
2002-12-03 00:20:01,-32767
2002-12-11 00:35:01,-32767
2002-12-19 00:20:01,-32767
2002-12-27 00:35:01,-32767
2003-01-01 00:50:01,-32767
2003-01-09 00:00:01,-32767
2003-01-17 00:50:01,-32767
2003-01-25 00:00:01,-32767
2003-02-02 00:00:01,-32767
2003-02-10 00:00:01,-32767
2003-02-26 00:00:01,-32767
2003-03-06 00:00:01,2.26499987
2003-03-14 00:00:01,-32767
2003-03-22 00:00:00,-32767
2003-03-30 00:05:00,-32767
2003-04-07 00:00:00,-32767
2003-04-15 00:35:00,2.42999983
2003-04-23 00:00:01,2.67499995
2003-05-01 00:35:00,2.44499993
2003-05-09 00:00:01,2.66499996
2003-05-17 00:35:00,3.26999998
2003-05-25 00:00:01,3.33500004
2003-06-02 00:35:01,4.11999989
2003-06-10 00:00:01,4.40499973
2003-06-18 00:35:01,3.94499993
2003-06-26 00:00:01,4.98999977
2003-07-04 00:35:01,5.18499994
2003-07-12 00:00:00,5.63999987
2003-07-20 00:35:01,6.17999983
2003-07-28 00:00:00,6.625
2003-08-05 00:35:00,6.75499964
2003-08-13 00:00:01,7.02999973
2003-08-21 00:35:00,7.4199996
2003-08-29 00:00:01,7.55499983
2003-09-06 00:35:01,6.42499971
2003-09-14 00:00:01,6.17000008
2003-09-22 00:00:01,2.99499989
2003-09-30 00:00:01,-32767
2003-10-16 00:00:01,4.2249999
2003-10-24 00:00:00,-32767
2003-11-01 00:00:00,-32767
2003-11-09 00:00:00,-32767
2003-11-17 00:50:00,-32767
2003-11-25 00:05:00,-32767
2003-12-03 00:50:00,-32767
2003-12-11 00:05:00,-32767
2003-12-19 00:50:01,-32767
2003-12-27 00:05:00,-32767
2004-01-01 00:20:01,-32767
2004-01-09 00:10:01,-32767
2004-01-17 00:20:01,-32767
2004-01-25 00:10:01,-32767
2004-02-02 00:20:01,-32767
2004-02-10 00:10:01,-32767
2004-02-18 00:20:01,-32767
2004-02-26 00:10:01,-32767
2004-03-05 00:20:01,-0.474999994
2004-03-13 00:10:01,2.38999987
2004-03-21 00:20:00,2.26999998
2004-03-29 00:10:01,-32767
2004-04-06 00:25:00,2.49499989
2004-04-14 00:10:00,1.64499998
2004-04-22 00:45:01,3.11999989
2004-04-30 00:10:00,4.08999968
2004-05-08 00:50:00,3.17999983
